contract_id,month_index,logins_total,active_users,leads_created,opportunities_created,reports_generated,feature_adoption_score
13,0,42,6,12,5,12,0.2754836311335783
13,1,42,6,6,2,6,0.2754836311335783
13,2,36,6,18,11,0,0.2754836311335783
13,3,24,6,18,11,0,0.2754836311335783
13,4,42,6,18,6,0,0.2754836311335783
13,5,48,6,18,12,6,0.2754836311335783
14,0,32,4,12,4,0,0.44498128728779
14,1,20,4,4,1,0,0.44498128728779
14,2,28,4,8,2,0,0.44498128728779
14,3,12,4,8,3,0,0.44498128728779
14,4,16,4,4,2,8,0.44498128728779
14,5,12,4,0,0,4,0.44498128728779
14,6,32,4,4,2,0,0.44498128728779
15,0,120,20,80,39,0,0.6429789416393352
15,1,220,20,80,28,60,0.6429789416393352
15,2,180,20,100,45,0,0.6429789416393352
15,3,140,20,40,26,20,0.6429789416393352
15,4,120,20,40,23,20,0.6429789416393352
16,0,32,8,8,4,8,0.35142332266881876
16,1,56,8,0,0,0,0.35142332266881876
16,2,72,8,0,0,0,0.35142332266881876
16,3,96,8,64,31,0,0.35142332266881876
16,4,56,8,40,23,0,0.35142332266881876
16,5,56,8,8,2,0,0.35142332266881876
17,0,15,3,0,0,3,0.3147906305252025
17,1,12,3,6,3,0,0.3147906305252025
17,2,30,3,9,4,0,0.3147906305252025
17,3,42,3,9,4,3,0.3147906305252025
17,4,15,3,6,2,0,0.3147906305252025
17,5,24,3,6,2,3,0.3147906305252025
17,6,24,3,15,5,3,0.3147906305252025
17,7,21,3,9,4,3,0.3147906305252025
17,8,33,3,6,2,0,0.3147906305252025
18,0,50,5,20,13,10,0.2451512387512549
18,1,40,5,10,5,5,0.2451512387512549
18,2,15,5,15,7,0,0.2451512387512549
18,3,60,5,10,4,10,0.2451512387512549
18,4,50,5,15,5,0,0.2451512387512549
18,5,70,5,5,1,0,0.2451512387512549
18,6,55,5,0,0,5,0.2451512387512549
18,7,35,5,10,3,10,0.2451512387512549
18,8,45,5,10,5,5,0.2451512387512549
18,9,45,5,20,7,0,0.2451512387512549
18,10,40,5,10,6,0,0.2451512387512549
18,11,20,5,15,5,10,0.2451512387512549
19,0,517,47,141,89,47,0.7751836830496721
19,1,329,47,47,23,0,0.7751836830496721
19,2,188,47,47,29,0,0.7751836830496721
19,3,611,47,0,0,0,0.7751836830496721
19,4,282,47,94,28,0,0.7751836830496721
19,5,423,47,141,58,0,0.7751836830496721
19,6,564,47,141,95,0,0.7751836830496721
19,7,376,47,235,99,94,0.7751836830496721
19,8,282,47,47,25,94,0.7751836830496721
19,9,329,47,94,28,47,0.7751836830496721
19,10,188,47,94,59,0,0.7751836830496721
20,0,60,20,80,52,40,0.5120189209467959
20,1,80,20,40,15,0,0.5120189209467959
20,2,120,20,20,13,0,0.5120189209467959
20,3,180,20,40,22,20,0.5120189209467959
20,4,100,20,80,24,80,0.5120189209467959
20,5,100,20,60,23,20,0.5120189209467959
21,0,230,23,92,32,46,0.5779216468421354
21,1,276,23,46,19,0,0.5779216468421354
21,2,207,23,184,58,46,0.5779216468421354
21,3,115,23,46,22,46,0.5779216468421354
21,4,161,23,23,14,0,0.5779216468421354
21,5,207,23,46,29,23,0.5779216468421354
21,6,276,23,69,40,0,0.5779216468421354
22,0,96,12,12,4,0,0.8249042576807458
22,1,96,12,24,9,12,0.8249042576807458
22,2,60,12,36,24,0,0.8249042576807458
22,3,48,12,60,24,12,0.8249042576807458
22,4,108,12,24,8,0,0.8249042576807458
22,5,84,12,0,0,12,0.8249042576807458
23,0,279,31,93,54,31,0.5532917916307916
23,1,248,31,31,16,0,0.5532917916307916
23,2,248,31,62,38,0,0.5532917916307916
23,3,279,31,124,69,0,0.5532917916307916
23,4,93,31,93,36,62,0.5532917916307916
23,5,279,31,62,34,31,0.5532917916307916
23,6,248,31,31,14,0,0.5532917916307916
24,0,32,4,4,2,0,0.29768256659145886
24,1,36,4,8,3,4,0.29768256659145886
24,2,36,4,4,1,4,0.29768256659145886
24,3,32,4,0,0,4,0.29768256659145886
24,4,20,4,8,3,4,0.29768256659145886
24,5,48,4,0,0,8,0.29768256659145886
25,0,336,48,240,74,0,0.34223969502802326
25,1,480,48,96,53,48,0.34223969502802326
25,2,480,48,96,49,48,0.34223969502802326
25,3,528,48,48,19,0,0.34223969502802326
25,4,240,48,0,0,48,0.34223969502802326
25,5,336,48,48,16,0,0.34223969502802326
25,6,528,48,144,76,144,0.34223969502802326
25,7,528,48,96,56,48,0.34223969502802326
25,8,144,48,96,57,48,0.34223969502802326
26,0,54,9,0,0,18,0.24550672564527692
26,1,63,9,18,5,9,0.24550672564527692
26,2,72,9,18,9,9,0.24550672564527692
26,3,117,9,0,0,0,0.24550672564527692
26,4,81,9,18,9,9,0.24550672564527692
26,5,36,9,45,25,0,0.24550672564527692
26,6,72,9,18,7,27,0.24550672564527692
26,7,45,9,18,8,9,0.24550672564527692
26,8,45,9,9,5,0,0.24550672564527692
27,0,66,22,88,46,0,0.8450713493434538
27,1,286,22,0,0,0,0.8450713493434538
27,2,220,22,22,14,0,0.8450713493434538
28,0,72,6,12,8,6,0.6216868348176852
28,1,24,6,18,8,0,0.6216868348176852
28,2,48,6,12,6,0,0.6216868348176852
28,3,48,6,36,14,6,0.6216868348176852
28,4,48,6,12,4,0,0.6216868348176852
28,5,78,6,6,2,6,0.6216868348176852
28,6,66,6,12,6,6,0.6216868348176852
28,7,54,6,12,5,0,0.6216868348176852
28,8,66,6,12,8,6,0.6216868348176852
28,9,60,6,12,4,18,0.6216868348176852
28,10,36,6,24,8,6,0.6216868348176852
28,11,24,6,6,2,18,0.6216868348176852
29,0,24,6,12,6,0,0.7405845979666797
29,1,18,6,6,3,12,0.7405845979666797
29,2,30,6,0,0,6,0.7405845979666797
29,3,60,6,0,0,6,0.7405845979666797
29,4,42,6,0,0,12,0.7405845979666797
30,0,30,5,10,3,5,0.30159337048301693
30,1,20,5,5,1,15,0.30159337048301693
30,2,30,5,5,1,5,0.30159337048301693
30,3,40,5,20,9,5,0.30159337048301693
30,4,35,5,5,1,10,0.30159337048301693
30,5,35,5,10,6,0,0.30159337048301693
30,6,20,5,15,10,5,0.30159337048301693
30,7,35,5,15,5,0,0.30159337048301693
31,0,136,17,51,31,0,0.5121280276127245
31,1,204,17,17,9,0,0.5121280276127245
31,2,204,17,68,21,34,0.5121280276127245
31,3,17,17,17,5,0,0.5121280276127245
32,0,40,8,16,6,16,0.231852942713042
32,1,48,8,16,5,0,0.231852942713042
32,2,56,8,8,4,24,0.231852942713042
32,3,72,8,0,0,8,0.231852942713042
32,4,40,8,16,9,8,0.231852942713042
33,0,24,4,12,5,0,0.34284475045595797
33,1,48,4,8,3,4,0.34284475045595797
33,2,36,4,0,0,8,0.34284475045595797
33,3,20,4,4,2,0,0.34284475045595797
33,4,36,4,12,6,8,0.34284475045595797
33,5,16,4,16,5,4,0.34284475045595797
33,6,20,4,12,6,4,0.34284475045595797
34,0,22,2,0,0,4,0.4233168269900117
34,1,18,2,0,0,2,0.4233168269900117
34,2,30,2,2,1,4,0.4233168269900117
34,3,22,2,4,2,0,0.4233168269900117
34,4,10,2,4,2,0,0.4233168269900117
34,5,8,2,8,3,2,0.4233168269900117
34,6,16,2,2,1,0,0.4233168269900117
35,0,102,17,0,0,0,0.43806077683681777
35,1,153,17,17,5,34,0.43806077683681777
35,2,119,17,34,21,34,0.43806077683681777
35,3,102,17,68,29,17,0.43806077683681777
35,4,85,17,34,20,34,0.43806077683681777
36,0,15,3,9,3,0,0.3804576419987393
36,1,30,3,3,1,0,0.3804576419987393
36,2,33,3,15,7,0,0.3804576419987393
36,3,27,3,6,2,3,0.3804576419987393
36,4,27,3,12,8,6,0.3804576419987393
37,0,210,35,140,95,35,0.8090369450902506
37,1,140,35,105,35,105,0.8090369450902506
37,2,350,35,35,14,105,0.8090369450902506
37,3,245,35,105,35,70,0.8090369450902506
37,4,315,35,35,12,70,0.8090369450902506
37,5,350,35,210,104,35,0.8090369450902506
38,0,36,4,16,6,8,0.3457575975644704
38,1,24,4,16,10,8,0.3457575975644704
38,2,48,4,4,1,0,0.3457575975644704
38,3,40,4,16,5,4,0.3457575975644704
38,4,36,4,8,4,0,0.3457575975644704
38,5,52,4,16,7,0,0.3457575975644704
38,6,32,4,16,8,8,0.3457575975644704
38,7,20,4,16,6,4,0.3457575975644704
39,0,21,3,9,5,0,0.45831744556584664
39,1,27,3,9,4,9,0.45831744556584664
39,2,30,3,9,4,6,0.45831744556584664
39,3,33,3,3,1,0,0.45831744556584664
39,4,27,3,9,3,0,0.45831744556584664
39,5,21,3,9,3,9,0.45831744556584664
39,6,42,3,6,2,0,0.45831744556584664
39,7,30,3,9,2,6,0.45831744556584664
39,8,33,3,3,1,6,0.45831744556584664
40,0,35,7,7,2,0,0.8643943661206176
40,1,28,7,0,0,14,0.8643943661206176
40,2,49,7,14,4,0,0.8643943661206176
40,3,49,7,35,12,0,0.8643943661206176
40,4,42,7,7,2,14,0.8643943661206176
40,5,56,7,14,7,0,0.8643943661206176
40,6,21,7,21,8,0,0.8643943661206176
40,7,49,7,7,4,0,0.8643943661206176
40,8,49,7,7,3,7,0.8643943661206176
40,9,70,7,7,2,21,0.8643943661206176
40,10,35,7,28,17,0,0.8643943661206176
41,0,65,13,39,21,13,0.7821861339576311
41,1,26,13,39,24,0,0.7821861339576311
41,2,104,13,0,0,26,0.7821861339576311
41,3,117,13,13,4,26,0.7821861339576311
41,4,104,13,78,46,13,0.7821861339576311
42,0,5,1,2,0,1,0.23709401830499474
42,1,8,1,5,2,0,0.23709401830499474
42,2,3,1,2,0,0,0.23709401830499474
42,3,6,1,4,2,0,0.23709401830499474
42,4,6,1,1,0,0,0.23709401830499474
42,5,15,1,3,1,1,0.23709401830499474
42,6,7,1,0,0,5,0.23709401830499474
42,7,9,1,3,1,1,0.23709401830499474
42,8,11,1,2,1,1,0.23709401830499474
42,9,5,1,1,0,1,0.23709401830499474
42,10,11,1,2,1,0,0.23709401830499474
43,0,143,13,26,8,26,0.3825476635104874
43,1,52,13,26,12,13,0.3825476635104874
43,2,65,13,26,12,13,0.3825476635104874
43,3,78,13,52,23,13,0.3825476635104874
43,4,52,13,26,13,26,0.3825476635104874
44,0,110,10,30,14,0,0.6183315294137721
44,1,130,10,20,6,20,0.6183315294137721
44,2,70,10,0,0,0,0.6183315294137721
44,3,80,10,30,20,20,0.6183315294137721
44,4,110,10,0,0,10,0.6183315294137721
45,0,98,14,28,8,14,0.39018968620113503
45,1,140,14,56,36,14,0.39018968620113503
45,2,168,14,28,14,28,0.39018968620113503
45,3,98,14,42,13,0,0.39018968620113503
45,4,126,14,14,8,70,0.39018968620113503
46,0,96,16,32,13,0,0.5465564386045888
46,1,128,16,48,18,0,0.5465564386045888
46,2,208,16,48,30,16,0.5465564386045888
46,3,80,16,48,26,32,0.5465564386045888
46,4,96,16,16,9,16,0.5465564386045888
46,5,112,16,48,29,0,0.5465564386045888
47,0,28,4,0,0,4,0.19676122323063253
47,1,64,4,20,8,8,0.19676122323063253
47,2,32,4,20,10,0,0.19676122323063253
47,3,28,4,4,1,0,0.19676122323063253
47,4,32,4,12,6,0,0.19676122323063253
47,5,40,4,8,3,4,0.19676122323063253
48,0,64,8,0,0,0,0.5860310261896539
48,1,88,8,16,5,0,0.5860310261896539
48,2,64,8,24,7,0,0.5860310261896539
48,3,120,8,32,19,8,0.5860310261896539
48,4,96,8,16,7,16,0.5860310261896539
48,5,72,8,8,4,0,0.5860310261896539
48,6,72,8,0,0,8,0.5860310261896539
48,7,72,8,40,18,8,0.5860310261896539
49,0,48,24,72,34,24,0.8270186778782082
49,1,288,24,48,20,0,0.8270186778782082
49,2,192,24,24,9,0,0.8270186778782082
49,3,264,24,24,11,24,0.8270186778782082
49,4,144,24,0,0,96,0.8270186778782082
49,5,192,24,0,0,0,0.8270186778782082
49,6,216,24,96,49,24,0.8270186778782082
49,7,216,24,24,8,24,0.8270186778782082
49,8,240,24,120,69,24,0.8270186778782082
49,9,240,24,24,9,24,0.8270186778782082
50,0,121,11,33,22,0,0.867843491281282
50,1,165,11,22,13,0,0.867843491281282
50,2,121,11,22,14,11,0.867843491281282
50,3,22,11,22,10,11,0.867843491281282
50,4,121,11,33,18,0,0.867843491281282
50,5,55,11,22,7,22,0.867843491281282
51,0,165,33,66,27,66,0.41515023961056224
51,1,198,33,264,165,33,0.41515023961056224
51,2,231,33,99,50,66,0.41515023961056224
51,3,396,33,33,20,33,0.41515023961056224
51,4,330,33,66,33,33,0.41515023961056224
51,5,396,33,99,51,0,0.41515023961056224
52,0,1246,178,890,584,712,0.455878255263105
52,1,1246,178,356,227,178,0.455878255263105
52,2,1068,178,534,233,0,0.455878255263105
52,3,1602,178,534,293,712,0.455878255263105
52,4,1602,178,356,204,178,0.455878255263105
52,5,1068,178,356,148,178,0.455878255263105
52,6,1424,178,1068,376,0,0.455878255263105
53,0,288,36,0,0,36,0.5617384781807647
53,1,324,36,36,19,36,0.5617384781807647
53,2,216,36,36,24,36,0.5617384781807647
53,3,396,36,72,39,0,0.5617384781807647
53,4,216,36,144,62,144,0.5617384781807647
53,5,396,36,72,37,108,0.5617384781807647
54,0,6,2,2,1,0,0.5168732107835967
54,1,14,2,6,3,0,0.5168732107835967
54,2,18,2,8,3,4,0.5168732107835967
54,3,16,2,2,0,0,0.5168732107835967
54,4,8,2,4,1,0,0.5168732107835967
54,5,10,2,2,0,4,0.5168732107835967
54,6,14,2,6,3,4,0.5168732107835967
54,7,16,2,6,2,4,0.5168732107835967
55,0,60,10,20,13,0,0.18017075181904804
55,1,110,10,40,22,20,0.18017075181904804
55,2,70,10,0,0,0,0.18017075181904804
55,3,30,10,40,14,0,0.18017075181904804
55,4,80,10,30,15,0,0.18017075181904804
55,5,80,10,10,6,20,0.18017075181904804
55,6,50,10,30,14,20,0.18017075181904804
55,7,70,10,30,14,10,0.18017075181904804
56,0,112,14,28,14,14,0.47600347456851444
56,1,126,14,28,14,14,0.47600347456851444
56,2,210,14,42,22,0,0.47600347456851444
56,3,112,14,56,36,0,0.47600347456851444
56,4,70,14,42,18,28,0.47600347456851444
56,5,70,14,42,19,0,0.47600347456851444
56,6,140,14,42,18,0,0.47600347456851444
57,0,66,6,12,6,6,0.9215244437955803
57,1,36,6,12,8,18,0.9215244437955803
57,2,54,6,12,8,0,0.9215244437955803
58,0,104,26,26,10,26,0.8993300663005682
58,1,234,26,104,46,26,0.8993300663005682
58,2,182,26,26,12,52,0.8993300663005682
58,3,208,26,26,13,26,0.8993300663005682
58,4,156,26,52,22,78,0.8993300663005682
58,5,208,26,0,0,26,0.8993300663005682
58,6,312,26,78,26,52,0.8993300663005682
58,7,156,26,26,12,26,0.8993300663005682
59,0,140,28,28,14,0,0.6953848695426753
59,1,252,28,28,10,28,0.6953848695426753
59,2,168,28,0,0,0,0.6953848695426753
59,3,196,28,56,36,56,0.6953848695426753
60,0,135,9,27,14,0,0.6521142168556361
60,1,99,9,18,7,0,0.6521142168556361
60,2,90,9,18,6,9,0.6521142168556361
60,3,72,9,18,11,0,0.6521142168556361
61,0,30,5,0,0,5,0.60179057785461
61,1,45,5,0,0,0,0.60179057785461
61,2,50,5,5,2,10,0.60179057785461
61,3,10,5,0,0,5,0.60179057785461
61,4,40,5,0,0,5,0.60179057785461
61,5,30,5,5,2,5,0.60179057785461
62,0,78,13,13,8,13,0.5464790022872337
62,1,117,13,13,6,26,0.5464790022872337
62,2,117,13,26,10,13,0.5464790022872337
62,3,104,13,39,25,0,0.5464790022872337
62,4,91,13,26,15,13,0.5464790022872337
62,5,78,13,26,14,26,0.5464790022872337
62,6,91,13,26,10,39,0.5464790022872337
62,7,130,13,13,8,0,0.5464790022872337
62,8,169,13,52,25,26,0.5464790022872337
62,9,156,13,13,8,13,0.5464790022872337
63,0,64,8,0,0,8,0.48073411581707837
63,1,40,8,8,5,16,0.48073411581707837
63,2,120,8,16,4,0,0.48073411581707837
63,3,72,8,8,3,8,0.48073411581707837
63,4,48,8,16,9,16,0.48073411581707837
63,5,56,8,32,19,8,0.48073411581707837
63,6,64,8,24,14,8,0.48073411581707837
63,7,48,8,0,0,8,0.48073411581707837
64,0,72,8,8,4,8,0.522924111229381
64,1,56,8,8,3,16,0.522924111229381
64,2,72,8,24,11,16,0.522924111229381
64,3,56,8,24,8,8,0.522924111229381
64,4,64,8,16,4,16,0.522924111229381
64,5,40,8,8,4,0,0.522924111229381
65,0,259,37,74,33,0,0.5532917916307916
65,1,444,37,74,36,0,0.5532917916307916
65,2,518,37,111,46,0,0.5532917916307916
65,3,259,37,0,0,0,0.5532917916307916
65,4,259,37,0,0,0,0.5532917916307916
65,5,259,37,37,21,37,0.5532917916307916
65,6,518,37,37,18,37,0.5532917916307916
65,7,222,37,74,41,37,0.5532917916307916
66,0,40,4,4,1,0,0.5366127712856175
66,1,16,4,4,1,0,0.5366127712856175
66,2,24,4,28,17,4,0.5366127712856175
66,3,32,4,12,7,0,0.5366127712856175
66,4,40,4,16,8,4,0.5366127712856175
66,5,36,4,20,12,0,0.5366127712856175
66,6,52,4,8,3,4,0.5366127712856175
66,7,32,4,12,4,8,0.5366127712856175
67,0,80,8,16,8,0,0.6019112175102072
67,1,48,8,16,9,8,0.6019112175102072
67,2,56,8,32,19,16,0.6019112175102072
67,3,48,8,16,9,8,0.6019112175102072
67,4,120,8,8,5,8,0.6019112175102072
67,5,88,8,8,4,8,0.6019112175102072
68,0,90,18,18,11,54,0.6701809892957081
68,1,108,18,54,30,0,0.6701809892957081
68,2,126,18,54,36,18,0.6701809892957081
68,3,162,18,36,11,0,0.6701809892957081
69,0,44,11,22,14,11,0.7162991496948851
69,1,99,11,22,10,11,0.7162991496948851
69,2,121,11,22,7,22,0.7162991496948851
69,3,77,11,33,15,22,0.7162991496948851
69,4,77,11,33,13,11,0.7162991496948851
69,5,33,11,22,14,11,0.7162991496948851
69,6,77,11,22,8,0,0.7162991496948851
69,7,99,11,33,22,11,0.7162991496948851
69,8,99,11,11,6,11,0.7162991496948851
69,9,55,11,22,13,11,0.7162991496948851
70,0,332,83,332,103,83,0.8884891755914568
70,1,913,83,0,0,83,0.8884891755914568
70,2,913,83,249,138,83,0.8884891755914568
70,3,498,83,415,279,0,0.8884891755914568
70,4,664,83,249,112,0,0.8884891755914568
70,5,415,83,0,0,83,0.8884891755914568
71,0,143,13,26,9,0,0.8940726330074805
71,1,65,13,26,11,0,0.8940726330074805
71,2,91,13,13,5,0,0.8940726330074805
71,3,117,13,26,15,0,0.8940726330074805
71,4,91,13,13,6,13,0.8940726330074805
71,5,117,13,26,8,0,0.8940726330074805
71,6,65,13,26,16,0,0.8940726330074805
72,0,77,11,44,26,0,0.6651344717574302
72,1,77,11,11,4,11,0.6651344717574302
72,2,55,11,33,19,11,0.6651344717574302
72,3,110,11,11,4,11,0.6651344717574302
72,4,88,11,33,21,0,0.6651344717574302
72,5,66,11,11,5,11,0.6651344717574302
72,6,55,11,22,14,0,0.6651344717574302
72,7,88,11,11,5,11,0.6651344717574302
73,0,147,21,42,21,0,0.6175069465548412
73,1,168,21,21,6,21,0.6175069465548412
73,2,147,21,63,43,63,0.6175069465548412
73,3,189,21,84,44,42,0.6175069465548412
73,4,210,21,105,41,21,0.6175069465548412
73,5,273,21,0,0,0,0.6175069465548412
73,6,252,21,84,52,21,0.6175069465548412
73,7,105,21,42,20,0,0.6175069465548412
74,0,50,5,15,6,5,0.22308411652188642
74,1,25,5,10,5,10,0.22308411652188642
74,2,55,5,0,0,10,0.22308411652188642
74,3,40,5,0,0,5,0.22308411652188642
74,4,40,5,10,4,5,0.22308411652188642
74,5,25,5,20,6,0,0.22308411652188642
75,0,27,3,6,1,3,0.4365988177951385
75,1,21,3,0,0,3,0.4365988177951385
75,2,30,3,12,6,6,0.4365988177951385
75,3,21,3,6,3,6,0.4365988177951385
75,4,27,3,6,3,9,0.4365988177951385
75,5,18,3,0,0,6,0.4365988177951385
75,6,21,3,0,0,0,0.4365988177951385
75,7,21,3,6,2,3,0.4365988177951385
75,8,15,3,3,1,9,0.4365988177951385
76,0,126,7,14,7,0,0.8101743739418886
76,1,28,7,21,12,0,0.8101743739418886
76,2,42,7,14,9,7,0.8101743739418886
76,3,49,7,0,0,7,0.8101743739418886
76,4,42,7,0,0,7,0.8101743739418886
76,5,49,7,28,18,14,0.8101743739418886
76,6,56,7,14,7,7,0.8101743739418886
77,0,64,8,0,0,16,0.5113909886507824
77,1,56,8,24,12,8,0.5113909886507824
77,2,72,8,24,11,24,0.5113909886507824
77,3,88,8,16,6,0,0.5113909886507824
77,4,72,8,8,2,16,0.5113909886507824
77,5,32,8,48,31,8,0.5113909886507824
78,0,42,6,24,11,0,0.4236571389438
78,1,36,6,18,12,24,0.4236571389438
78,2,60,6,6,2,6,0.4236571389438
78,3,54,6,18,5,0,0.4236571389438
78,4,36,6,12,5,24,0.4236571389438
78,5,18,6,12,4,0,0.4236571389438
78,6,66,6,6,2,12,0.4236571389438
78,7,54,6,24,10,0,0.4236571389438
78,8,6,6,6,3,0,0.4236571389438
78,9,54,6,6,3,0,0.4236571389438
79,0,150,15,60,27,15,0.372183707245978
79,1,180,15,60,32,0,0.372183707245978
79,2,165,15,30,18,15,0.372183707245978
79,3,135,15,30,13,0,0.372183707245978
79,4,150,15,0,0,15,0.372183707245978
79,5,135,15,15,8,0,0.372183707245978
79,6,105,15,0,0,0,0.372183707245978
80,0,63,7,21,11,35,0.6533775567343929
80,1,77,7,14,8,0,0.6533775567343929
80,2,98,7,14,6,7,0.6533775567343929
80,3,42,7,7,2,14,0.6533775567343929
80,4,70,7,7,4,7,0.6533775567343929
80,5,49,7,14,8,14,0.6533775567343929
80,6,35,7,14,6,0,0.6533775567343929
80,7,63,7,14,8,7,0.6533775567343929
80,8,42,7,42,16,0,0.6533775567343929
81,0,210,30,0,0,30,0.7766214536596703
81,1,330,30,210,109,30,0.7766214536596703
81,2,120,30,30,18,0,0.7766214536596703
81,3,240,30,120,77,0,0.7766214536596703
81,4,240,30,60,40,0,0.7766214536596703
81,5,240,30,30,15,0,0.7766214536596703
81,6,300,30,60,23,0,0.7766214536596703
81,7,240,30,0,0,30,0.7766214536596703
81,8,180,30,30,10,0,0.7766214536596703
82,0,222,37,148,72,37,0.6474608183195951
82,1,296,37,185,81,37,0.6474608183195951
82,2,259,37,37,11,37,0.6474608183195951
